numero,proyecto,fecha,estado,titulo,autores
14772,14772/2025-CR,2026-06-11,EN COMISIÓN,"PROYECTO DE LEY QUE CREA EL INSTITUTO SUPERIOR TECNOLÓGICO PÚBLICO DE CASTILLAPATA (ISTPC) UBICADO EN EL DISTRITO DE YAULI, PROVINCIA HUANCAVELICA, DEPARTAMENTO DE HUANCAVELICA","Cruz Mamani, Flavio; Taipe Coronado, María Elizabeth; Espiritu Cavero, Raul; Gonza Castillo, Américo; Agüero Gutiérrez, María Antonieta; Mita Alanoca, Isaac"
14773,14773/2025-CR,2026-06-11,EN COMISIÓN,"PROYECTO DE LEY QUE DECLARA DE INTERÉS NACIONAL Y NECESIDAD PÚBLICA LA CREACIÓN DEL DISTRITO DE PAMPA GRANDE, EN LA PROVINCIA DE CHICLAYO, DEPARTAMENTO DE LAMBAYEQUE","Bellido Ugarte, Guido; Arriola Tueros, José Alberto; Laura Rojas, Judith; Tello Montes, Nivardo Edgar; Juárez Calle, Heidy Lisbeth; Espinoza Vargas, Jhaec Darwin"
14774,14774/2025-CR,2026-06-11,EN COMISIÓN,"PROYECTO DE LEY QUE DECLARA DE INTERÉS NACIONAL LA CREACIÓN DEL DISTRITO DE SANTA MARÍA DE AYABACAS, UBICADO EN LA PROVINCIA DE SAN ROMÁN Y DEPARTAMENTO DE PUNO","Bellido Ugarte, Guido; Arriola Tueros, José Alberto; Tello Montes, Nivardo Edgar; Juárez Calle, Heidy Lisbeth; Laura Rojas, Judith; Espinoza Vargas, Jhaec Darwin"
14775,14775/2025-CR,2026-06-11,EN COMISIÓN,"PROYECTO DE LEY QUE DECLARA DE INTERÉS NACIONAL LA CREACIÓN DEL DISTRITO DE PEÑA BLANCA, UBICADO EN LA PROVINCIA DE JAÉN Y DEPARTAMENTO DE CAJAMARCA","Bellido Ugarte, Guido; Arriola Tueros, José Alberto; Tello Montes, Nivardo Edgar; Laura Rojas, Judith; Juárez Calle, Heidy Lisbeth; Espinoza Vargas, Jhaec Darwin"
14776,14776/2025-CR,2026-06-11,EN COMISIÓN,PROYECTO DE LEY QUE FORTALECE LOS DERECHOS DE LOS CONSUMIDORES DE SERVICIOS DE SALUD MEDIANTE LA GARANTÍA DE UNA ATENCIÓN E INFORMACIÓN DIGNA,"Bellido Ugarte, Guido; Arriola Tueros, José Alberto; Laura Rojas, Judith; Tello Montes, Nivardo Edgar; Espinoza Vargas, Jhaec Darwin; Juárez Calle, Heidy Lisbeth"
14777,14777/2025-CR,2026-06-11,EN COMISIÓN,"PROYECTO DE LEY QUE DECLARA DE INTERÉS NACIONAL Y NECESIDAD PÚBLICA LA CREACIÓN DEL DISTRITO DE SAN ANTONIO DE COCHA, EN LA PROVINCIA DE VILCASHUAMAN, DEPARTAMENTO DE AYACUCHO","Bellido Ugarte, Guido; Arriola Tueros, José Alberto; Laura Rojas, Judith; Tello Montes, Nivardo Edgar; Espinoza Vargas, Jhaec Darwin; Juárez Calle, Heidy Lisbeth"
14778,14778/2025-CR,2026-06-11,EN COMISIÓN,"PROYECTO DE LEY QUE DECLARA DE INTERÉS NACIONAL LA CREACIÓN DEL DISTRITO DE BELLAVISTA, UBICADO EN LA PROVINCIA DE PATAZ Y DEPARTAMENTO DE LA LIBERTAD","Bellido Ugarte, Guido; Arriola Tueros, José Alberto; Tello Montes, Nivardo Edgar; Laura Rojas, Judith; Juárez Calle, Heidy Lisbeth; Espinoza Vargas, Jhaec Darwin"
14779,14779/2025-CR,2026-06-11,EN COMISIÓN,"PROYECTO DE LEY QUE MODIFICA EL DECRETO LEGISLATIVO 1280, DECRETO LEGISLATIVO QUE APRUEBA LA LEY DEL SERVICIO UNIVERSAL DE AGUA POTABLE Y SANEAMIENTO, A FIN DE FORTALECER LAS COMPETENCIAS REGULATORIAS, SUPERVISORAS Y FISCALIZADORAS DE LA SUPERINTENDENCIA NACIONAL DE SERVICIOS DE SANEAMIENTO- SUNASS","Bellido Ugarte, Guido; Arriola Tueros, José Alberto; Laura Rojas, Judith; Tello Montes, Nivardo Edgar; Juárez Calle, Heidy Lisbeth; Espinoza Vargas, Jhaec Darwin"
14780,14780/2025-CR,2026-06-11,EN COMISIÓN,"PROYECTO DE LEY QUE DECLARA DE INTERÉS NACIONAL Y NECESIDAD PÚBLICA LA CREACIÓN DEL DISTRITO DE PARAGSHA, UBICADO EN LA PROVINCIA DE PASCO, DEPARTAMENTO DE PASCO","Bellido Ugarte, Guido; Arriola Tueros, José Alberto; Laura Rojas, Judith; Tello Montes, Nivardo Edgar; Espinoza Vargas, Jhaec Darwin; Juárez Calle, Heidy Lisbeth"
14781,14781/2025-CR,2026-06-11,EN COMISIÓN,"PROYECTO DE LEY QUE DECLARA DE INTERÉS NACIONAL LA CREACIÓN DEL DISTRITO DE VALLE ESMERALDA DE HUAYAO, UBICADO EN LA PROVINCIA DE LA MAR, DEPARTAMENTO DE AYACUCHO","Bellido Ugarte, Guido; Arriola Tueros, José Alberto; Laura Rojas, Judith; Tello Montes, Nivardo Edgar; Juárez Calle, Heidy Lisbeth; Espinoza Vargas, Jhaec Darwin"
